G_label,ANC,start_pairwise_connectivity,end_pairwise_connectivity,baseline,method_name
PPI_4,0.8482842794076427,1.0,0.72883078437786,False,MTSSL_MEGA_reset_BA_FINDER_noProc
PPI_2,0.8684235566099658,1.0,0.7591714604926547,False,ORIGINAL_BA_FINDER
PPI_2,0.8452665251468174,1.0,0.717336942425895,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
PPI_2,0.8998090343181292,1.0,0.8055949333523706,True,random
PPI_2,0.8663669369099363,1.0,0.7525735881535056,True,degree
PPI_2,0.8614778844372962,1.0,0.7416411252577888,True,HDA
PPI_2,0.8666908388376796,1.0,0.7531223110030729,True,CI
PPI_1,0.8651327859058778,1.0,0.7544052559237654,False,ORIGINAL_BA_FINDER
PPI_1,0.8426728606666772,1.0,0.7124490596727981,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
PPI_1,0.8989332744266444,1.0,0.8017081313805569,True,random
PPI_1,0.8635006506288503,1.0,0.7521065565325283,True,degree
PPI_1,0.8586113420985197,1.0,0.7400959289389286,True,HDA
PPI_1,0.8642089681397941,1.0,0.7526809025562783,True,CI
